"Rhoto.Ac.1"	"Rhoto.Ac.2"	"Rhoto.Ac.3"	"Rhoto.Glc.1"	"Rhoto.Glc.2"	"Rhoto.Glc.3"	"Rhoto.So.1"	"Rhoto.So.2"	"Rhoto.So.3"	"Rhoto.Xyl.1"	"Rhoto.Xyl.2"	"Rhoto.Xyl.3"	"Rhoto.YP.1"	"Rhoto.YP.2"	"Rhoto.YP.3"
"mRNA_1"	4.03088219989541	4.18702945902024	3.89342454004872	4.51717413418147	4.58054678115492	4.4099609717956	4.38685419639557	4.67412415860623	4.4021134614629	4.61115876637025	4.74280927400524	4.46942400823853	4.42534324844319	4.22991103628322	4.39667094570805
"mRNA_2"	4.89968575285338	4.85078746731811	5.46959332492166	6.21117610417703	6.16579029671476	6.37069899033524	5.03914201178374	4.78585993950238	5.10383159131245	5.23847199247688	5.36934096202406	5.59226661112027	5.26325469125717	5.37821008280768	5.06389199355185
"mRNA_3"	5.65273486782117	5.49529858988469	5.43841849974788	5.19288195540915	5.25656042614543	5.35974247330041	5.31396296437875	5.43236397788464	5.54410659960907	5.72323061229087	5.50931005635858	5.4964302215524	5.04183695671162	5.30320314274313	4.45963224817488
"mRNA_4"	13.5445251041242	12.855256977683	13.3414248203768	8.05308449015368	8.14424727739381	7.87046012736009	13.0253054437118	12.5416230371599	12.0895770604577	11.8063352422856	11.7209127751001	11.9704565629758	12.0715902366338	12.0803373182374	12.2865449753906
"mRNA_5"	5.69263821635223	5.3894041424877	5.33449140146255	4.86894090000117	5.14116390578216	4.95985448546984	5.52323214874014	5.50172373095559	5.81600111830024	5.9903607272561	5.98949232982616	5.90788036888314	4.93411543598124	4.97623269789027	4.57786667679807
"mRNA_6"	7.62678476410702	7.57660116537702	7.70706583847555	8.15106402211468	7.73766461933342	8.02740129476229	7.94073676163125	7.82658251229611	7.89273314304102	7.51111547296436	7.6190294509399	7.57131509711055	7.79497128843524	7.64924826160593	7.84920400416338
"mRNA_7"	5.94239986240175	5.61403498298712	6.10364182213612	5.96383547628434	6.17885362633598	6.0634322065036	5.99492682441294	6.14773366099118	6.21289351059456	5.94975841289094	5.97319243472262	5.94908102905992	6.16823833365476	6.14014570428122	6.14345659529848
"mRNA_8"	4.34889388402024	4.5976729072601	4.59459383634965	3.36648531245833	3.19662545198718	3.31192086061529	8.26905277207539	7.68813819389368	8.02856204013987	6.52673571963711	6.32878655419214	6.83623361404799	6.49006987252111	6.86982043340451	7.73063251995075
"mRNA_11"	-0.463023686916339	-0.503781917738697	-0.616766587420595	0.256167772727298	0.340758375467137	0.753323419384857	0.372789852259482	0.279838688752628	-0.292938059986659	0.589431137871405	0.287931793888464	0.855751434646784	0.193153253154146	-0.114125254709258	0.317976865845853
"mRNA_12"	4.10034001290149	3.56438130410833	4.27981209553677	3.85883375102738	4.53657009842839	4.29006474786683	4.23066863647162	4.96353939504188	4.29494243920817	5.64908743920824	5.57559116563155	5.1171424610767	5.22058801217786	5.19671322050969	4.1894043343377
